Departamento|Provincia|Distrito|Nombre|Telefono|x_gis|y_gis
SAN_MARTIN|MARISCAL_CACERES|JUANJUI|QUINILLA|950494618|-76.67379637|-7.35578772
SAN_MARTIN|TOCACHE|UCHIZA|HUICTE|952042574|-76.37501333|-8.387595
SAN_MARTIN|TOCACHE|TOCACHE|NUEVO_BAMBAMARCA|997023003|-76.59216|-8.14197667
SAN_MARTIN|SAN_MARTIN|HUIMBAYOC|HUIMBAYOC|95567246|-75.76868167|-6.416895
SAN_MARTIN|HUALLAGA|SAPOSOA|RURAL_SAPOSOA|998547316|-76.76902167|-6.94190667
SAN_MARTIN|HUALLAGA|SAPOSOA|PALTAICO|042-547219|-76.73502667|-6.91918
SAN_MARTIN|MARISCAL_CACERES|PAJARILLO|PAJARILLO|947027597|-76.68831545|-7.17677861
SAN_MARTIN|RIOJA|NUEVA_CAJAMARCA|UCRANIA|942860671|-77.2819502|-5.94532004
SAN_MARTIN|RIOJA|PARDO_MIGUEL|PERLA_DEL_MAYO|996307642|-77.62856671|-5.6391539
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|SANTA_ROSA_DE_OROMINA|952892922|-77.03446|-6.099
SAN_MARTIN|MARISCAL_CACERES|HUICUNGO|SANTA_INES|(042)_813841|-76.90100925|-7.33225311
SAN_MARTIN|HUALLAGA|EL_ESLABON|EL_ESLABON|950583320|-76.722295|-7.02108333
SAN_MARTIN|RIOJA|NUEVA_CAJAMARCA|TUPAC_AMARU|*302034|-77.42862851|-5.83518797
SAN_MARTIN|SAN_MARTIN|TARAPOTO|HOSPITAL_TARAPOTO|042-522357|-76.34874546|-6.49453094
SAN_MARTIN|SAN_MARTIN|CHIPURANA|YARINA|958888778|-75.863275|-6.42618333
SAN_MARTIN|SAN_MARTIN|PAPAPLAYA|SAN_ANTONIO__RIO_HUALLAGA|948996403|-75.72214745|-6.30603479
SAN_MARTIN|EL_DORADO|SANTA_ROSA|SANTA_MARTHA|999297905|-76.62358674|-6.67551154
SAN_MARTIN|MARISCAL_CACERES|CAMPANILLA|SION|942852030|-76.78613402|-7.66562288
SAN_MARTIN|BELLAVISTA|BELLAVISTA|HOSPITAL_BELLAVISTA|042-544664|-76.58256361|-7.05457844
SAN_MARTIN|MOYOBAMBA|JEPELACIO|PACAYPITE|042-562160|-76.89635833|-6.20588833
SAN_MARTIN|PICOTA|TINGO_DE_PONASA|MARISCAL_CASTILLA|#943273805|-76.26384532|-6.89715502
SAN_MARTIN|PICOTA|CASPISAPA|CASPIZAPA|976198801|-76.41980425|-6.9562888
SAN_MARTIN|PICOTA|BUENOS_AIRES|BUENOS_AIRES|988618837|-76.32944|-6.78937
SAN_MARTIN|LAMAS|CAYNARACHI|NUEVO_LAMAS|987090169|-76.34934377|-6.19868412
SAN_MARTIN|RIOJA|AWAJUN|SAN_CARLOS|972879917|-77.43540056|-5.86493332
SAN_MARTIN|MARISCAL_CACERES|JUANJUI|VILLA_PRADO|964328128|-76.70108556|-7.14014239
SAN_MARTIN|MARISCAL_CACERES|HUICUNGO|MIRAFLORES|925633897|-76.7042561|-7.38599481
SAN_MARTIN|BELLAVISTA|SAN_RAFAEL|LA_LIBERTAD|971054874|-76.47328541|-7.02984593
SAN_MARTIN|MOYOBAMBA|MOYOBAMBA|LOS_ANGELES|945371672|-77.01463333|-5.928445
SAN_MARTIN|MOYOBAMBA|CALZADA|SANTA_ROSA_BAJO_TANGUMI|952892922|-77.14102|-5.96787
SAN_MARTIN|HUALLAGA|ALTO_SAPOSOA|NUEVA_VIDA|985255354|-76.83179333|-6.72725333
SAN_MARTIN|RIOJA|SAN_FERNANDO|SAN_FERNANDO|#996370333|-77.27258267|-5.90287113
SAN_MARTIN|MOYOBAMBA|HABANA|HABANA|979644484|-77.09056333|-6.08042667
SAN_MARTIN|SAN_MARTIN|CHIPURANA|NAVARRO|#955672476|-75.73103333|-6.377995
SAN_MARTIN|SAN_MARTIN|HUIMBAYOC|PUCALLPA|#955672476|-75.84493333|-6.45271167
SAN_MARTIN|SAN_MARTIN|CHAZUTA|SANTA_ROSA_DE_CHIPAOTA|942671457|-76.08596931|-6.5766441
SAN_MARTIN|EL_DORADO|SHATOJA|SHATOJA|945248533|-76.71940418|-6.53101865
SAN_MARTIN|PICOTA|TRES_UNIDOS|TRES_UNIDOS|#945899165|-76.23439823|-6.80207708
SAN_MARTIN|LAMAS|SHANAO|SHANAO|995892972|-76.59367848|-6.40869119
SAN_MARTIN|EL_DORADO|SANTA_ROSA|SANTA_ELENA|992892566|-76.57790961|-6.73791387
SAN_MARTIN|LAMAS|TABALOSOS|SAN_MIGUEL_DEL_RIO_MAYO|939135217|-76.58679333|-6.43587333
SAN_MARTIN|SAN_MARTIN|CHAZUTA|CALLANAYACU|958631831|-75.91923061|-6.57142144
SAN_MARTIN|EL_DORADO|SAN_JOSE_DE_SISA|SANTA_CRUZ|980218386|-76.72976232|-6.61361396
SAN_MARTIN|EL_DORADO|SAN_JOSE_DE_SISA|SAN_JUAN_DE_MIRAFLORES|925411097|-76.74636456|-6.61478736
SAN_MARTIN|LAMAS|BARRANQUITA|BARRANQUITA_CAYNARACHI|941913162|-76.0315764|-6.25190163
SAN_MARTIN|LAMAS|LAMAS|HUAYCO_LAMAS|990231225|-76.52154171|-6.42187045
SAN_MARTIN|SAN_MARTIN|TARAPOTO|SANTA_ROSA_DE_CUMBAZA|985983559|-76.37722167|-6.52788
SAN_MARTIN|LAMAS|CUÑUMBUQUI|ALTO_ANDINO|952992522|-76.5554315|-6.66886553
SAN_MARTIN|LAMAS|ZAPATERO|NUEVO_MUNDO|943638636|-76.54428542|-6.5306747
SAN_MARTIN|PICOTA|TINGO_DE_PONASA|AYPENA|953655489|-76.25768842|-6.95733698
SAN_MARTIN|SAN_MARTIN|PAPAPLAYA|SAN_JUAN_RIO_HUALLAGA|942902471|-75.76838773|-6.26014414
SAN_MARTIN|SAN_MARTIN|JUAN_GUERRA|JUAN_GUERRA|945853701|-76.32417543|-6.58492649
SAN_MARTIN|LAMAS|PINTO_RECODO|BETANIA|949054691|-76.82498667|-6.17012833
